Speed (km/h),Profile,Passive sigma_F (N),Phase12 sigma_F (N),Improvement (%),ATR (%),Integral u2
250.0,1,30.0132385970081,29.79303936467951,0.7336736807554652,41.9001025802888,991.2804270401529
250.0,2,31.222629730868913,30.895067823024966,1.049116972745239,43.32044504063758,1664.4314318418092
250.0,3,30.91235422653358,29.981816274815422,3.010246145922564,42.60238301901681,1538.7426389811378
250.0,4,30.35651535530473,29.686173826889974,2.2082295038439432,42.11315394934112,1097.1685412383226
250.0,5,30.90449998224325,30.208414748902797,2.2523750060360244,41.52923538230884,1673.2310809607416
250.0,6,29.87073185759772,29.4120236502166,1.5356443543730725,41.29251163891738,919.9130875147188
250.0,7,31.449909768579,31.323982937239354,0.40040442807711524,40.16412846208475,1610.361720310922
250.0,8,30.06571083264471,29.86449636404483,0.6692489983686275,39.22512427996528,1175.404889119478
250.0,9,30.437710269827406,29.562106641851397,2.8767066254782834,43.967489939240906,1449.564025856144
250.0,10,31.32464491325244,31.113136124485653,0.6752152797023502,42.089481575001976,1560.3254779027461
300.0,1,36.389283214458,36.68185565515929,-0.8040071550105412,52.220433671053875,1069.0934621885986
300.0,2,37.13874836415237,36.822374749370574,0.8518693513300267,54.42666414165325,1583.4594943898153
300.0,3,36.42415998310498,36.02146283216976,1.105577043154888,58.63081147618596,1575.9458780590098
300.0,4,37.187433656525876,36.70065240062276,1.308993947792078,53.12943850014204,1244.0641710510758
300.0,5,36.6915306039432,36.57269136035792,0.3238873975252101,52.50449768014393,1575.1420307033259
300.0,6,36.58340342382051,36.008688360092194,1.570972107406787,58.68762427800398,1275.058429680058
300.0,7,36.8646900045989,37.318599470839,-1.2312851842331316,56.831739418615655,2073.2561282897086
300.0,8,36.41795887608996,36.62479473428814,-0.567950166844668,56.27308020073857,1269.201428290467
300.0,9,36.67755893986079,36.63319909844054,0.12094545739257392,56.25414260013256,1596.4784572727563
300.0,10,36.88313662132888,37.00455020672733,-0.32918454480966997,57.56083704194679,1477.6165413800368
350.0,1,38.23943266370649,38.05505531990228,0.48216547935137793,59.42989724892277,671.7387869626059
350.0,2,38.55868982632967,37.66242151980798,2.3244262462198004,63.241630759032155,929.9061144867047
350.0,3,37.919756897754226,37.271770367611666,1.7088361929370308,61.473870290575626,797.7116922708776
350.0,4,39.01119856207687,37.8138350930149,3.0692814196842866,58.03778588001326,882.2391031289403
350.0,5,38.44348037377655,37.62374055887226,2.132324667106531,64.2691415313225,854.7131570450427
350.0,6,38.536101447846015,37.92750213115675,1.5792965396692527,58.877472102530106,655.779957478986
350.0,7,38.62617883044854,38.08948109331883,1.3894662981952401,62.11468346039112,1080.2045281050791
350.0,8,38.34204299437371,38.00250377532231,0.885553279206397,62.832836150701574,788.867157443796
350.0,9,38.61086781695128,38.15313565257855,1.1855008453650224,62.51242956579384,767.5156941524369
350.0,10,38.55647192205529,37.915819119620366,1.6615960187696832,60.31377748315103,904.2433136750349
