Force RMSE (N),Force MAE (N),Force bias (N),Filtered Fc std (N),ATR (%),Integral u2,Position-state RMSE (um),Velocity-state RMSE (m/s),Modal displacement RMSE,Modal velocity RMSE,State events,Check triggers,Max state norm,Max V,Minimum inter-event time (ms),Maximum OFF interval (ms),Finite trajectory,Noise case,Sampling (Hz),Seed
1.0662084904503628,0.8493350190291648,-0.04580388622722107,36.28842405276507,72.19960231038728,2628.7496261158144,20.182688808469816,0.005011389157973801,0.002871444167723544,0.142154842603063,287,6,0.22431310201535828,15.201358568000293,16.499999999999737,51.60741067465846,True,Medium,500,1
1.0701192560409667,0.8575510054183424,0.006217493648458837,36.399785052544225,71.98181990341823,2923.480406391659,20.908903027782554,0.005166423147469697,0.0027079779030329486,0.13458892165508474,288,8,0.20750231495275945,14.90035870185133,16.499999999999737,51.59275168017352,True,Medium,500,2
1.0579425317482027,0.8403865246945629,0.003306311789382714,36.44317543257197,75.61783921977086,2877.694977398988,20.29185783440727,0.004991832110370823,0.0027473722853786097,0.13563944772610181,304,5,0.2110172273891095,17.1765871048242,16.499999999999737,50.85574297542861,True,Medium,500,3
1.1001615053104394,0.8740097813047548,0.006740400894150527,36.27062081724648,74.1122999715936,2576.570725246821,20.5372937453488,0.005188110532006319,0.0027881553350372237,0.13775847917638864,289,9,0.2502183531357218,14.820295619272708,16.499999999999737,51.606835854287155,True,Medium,500,4
1.044379012710486,0.833773009398443,0.002351289432791672,36.76290738908131,70.39106145251397,2820.863566695237,20.4022939992169,0.004900388071105297,0.0027315558386744342,0.13592053492223263,286,6,0.22431019861705231,14.522050990078721,16.499999999999737,50.9867795218959,True,Medium,500,5
1.0634724724957765,0.8462330564162078,-0.007760085089687491,36.67847455583702,73.4968279518985,2893.512679954132,20.850768348578544,0.005065448674184917,0.002649694660586623,0.13170264171093285,293,7,0.2138466882100958,14.416299727587079,16.499999999999737,51.58121382171865,True,Medium,500,6
1.0601088772489256,0.8492249798538585,-0.00044721510297062833,36.699534776312,75.54208881734684,2649.072859846143,20.529801055562935,0.004990654703863147,0.0028204406726189016,0.139179760271765,291,7,0.22511046431408424,15.459034870320917,16.499999999999737,51.59607152441126,True,Medium,500,7
1.0853941541250038,0.85892591021557,0.00969898767058295,36.743859970803285,65.10747088343906,2470.5230156353114,20.423901235722756,0.00510466769085106,0.0028209268935636407,0.13990057443007511,247,19,0.24396575830698647,16.026427836783924,16.499999999999737,51.63375161225581,True,Medium,500,8
1.0531290446473134,0.8356797113224816,0.009403619234278794,36.58796769667184,73.70514155856453,2717.2783487545594,20.277900126597768,0.0050028071102866155,0.0028187614714899373,0.1403146153062577,293,7,0.26902470734722006,16.734178245834677,16.499999999999737,51.6170769404285,True,Medium,500,9
1.0653600149711167,0.8486837290330937,0.0009519204750040721,36.81617155155936,74.23539437553262,2900.1735871652127,20.80783060613564,0.005026870432349222,0.0027397190754726744,0.13616830332694382,296,7,0.23624064586767599,17.020392126110195,16.499999999999737,51.60549154637284,True,Medium,500,10
1.0724483055292489,0.8490311744508637,0.04055524373616707,36.439884378891016,74.49105198371366,2951.8859372761353,20.45925574861809,0.005064377777826923,0.0027969393799237782,0.13932982820344883,296,8,0.23900316275934985,14.906931559300432,16.499999999999737,52.20430061375225,True,Medium,500,11
1.0842244066134639,0.8603847325844628,-0.006843410300280455,36.75428638775741,75.00236720007575,2736.877961020105,20.865201392661806,0.005102628204542023,0.0026847643440903748,0.1331214692616197,297,8,0.22886013612994827,16.38144100904379,16.499999999999737,51.69575107344748,True,Medium,500,12
1.091879514528687,0.8721353575195796,0.01385564871896478,36.588341177953914,71.28112868099612,2157.4519005754773,20.4724651456969,0.00495324285345458,0.00281178076644005,0.13960475192664037,279,9,0.23689003559785998,14.916667635280538,16.499999999999737,51.58121382171843,True,Medium,500,13
1.0682748187896967,0.8504867611750423,-0.03911422589615769,36.870350190633644,73.86611116371556,2792.215467204065,20.544558428590047,0.004975407653237745,0.002589124182579314,0.12864816921100705,293,7,0.2669348630903701,14.088736357355362,16.499999999999737,50.94952023866828,True,Medium,500,14
1.0844492748164771,0.8610552087874253,-0.005240616944521892,36.8132556099444,72.3321655146293,2323.0689262912374,20.47039288534191,0.005085403303925398,0.0030044693258743245,0.14952068717116251,287,7,0.22894698282945794,23.18384302700451,16.499999999999737,51.593156589801126,True,Medium,500,15
1.0350013752861695,0.8191403751516388,0.007623140536591862,36.56401076395699,74.86033519553072,3002.435765967055,20.027709980325106,0.00486402650584852,0.0026849031013228887,0.13282043224805543,296,6,0.2531674054859623,15.918947965185524,16.499999999999737,50.89660808643259,True,Medium,500,16
1.0611777211094842,0.8521373498401731,0.02865245007466462,36.64469775765028,75.68412082189187,3056.0508505796593,20.556864079440565,0.005003086775590901,0.0027337612246234326,0.1355098566521807,298,7,0.2307241466706387,15.315445129107779,16.499999999999737,51.64103401550291,True,Medium,500,17
1.0729754501894662,0.8539711668041435,0.015472645664729034,36.285503080486926,72.26588391250829,2895.414644810011,20.497762674321475,0.005070268501988707,0.002903368117449382,0.14401471339090477,282,9,0.24262822739820933,16.2647527227118,16.499999999999737,52.204300613751364,True,Medium,500,18
1.0890374547581287,0.8699944835243745,-0.004970670427234024,37.04493057192705,70.27743584887794,2633.2279380173986,20.589259893727835,0.005119332629944196,0.0027759718019700393,0.1372423649068709,284,7,0.22518057157242918,15.388332639158639,16.499999999999737,51.604289538629274,True,Medium,500,19
1.0699592138585097,0.8508410847794071,-0.035285616746274624,36.331158463246105,73.79036076129154,2986.0310042642486,20.764770391905994,0.005111441089800286,0.0026964456652236817,0.13461055602036812,292,8,0.2446034001438062,15.226470361233611,16.499999999999737,51.579477325315096,True,Medium,500,20
0.9273657369396242,0.7414727985093484,0.006853764015505492,36.61506768696983,75.52315121674084,2396.8129872069126,16.045111294825322,0.004185068814954736,0.0028391887493275213,0.14117692404193383,295,12,0.2159276205338957,16.097061955352768,16.499999999999737,51.57605750919325,True,Medium,1000,1
0.9242572944011591,0.7393331300872086,0.020003272680835096,36.88581143599485,70.39106145251397,2217.8869561507026,16.270587831560764,0.004165883173529579,0.0029905021604990077,0.14872961053681502,280,11,0.20006695782703704,16.71685079030458,16.499999999999737,51.69575107344748,True,Medium,1000,2
0.910316683201308,0.7287656025415667,0.0033918093270190732,36.518896330868415,73.59151595492851,2566.875050147892,16.451709675851582,0.0041299808204518845,0.0028976803476000925,0.14618101510878453,287,9,0.2511222116688423,17.743095060907482,16.499999999999737,51.60549154637284,True,Medium,1000,3
0.9069574604303584,0.7248157426126673,0.013834182147341719,36.88124536101689,76.59312565098003,2402.4982033595397,16.48978439371258,0.004188963004291971,0.0028169373905164914,0.1414791651099109,290,8,0.23088244207959527,15.109081219287972,16.499999999999737,51.53506238789696,True,Medium,1000,4
0.9212079762545823,0.734718076892662,-0.017615567262134434,36.45172882044897,76.95294006249408,2488.9176081870705,16.29822923873112,0.004188865511944951,0.0027866171225757793,0.13887375331666552,305,8,0.2153113019980303,14.941532177690956,16.499999999999737,50.88742143328795,True,Medium,1000,5
0.9209670362440148,0.731686914946112,0.0019366351792124235,36.57643264948189,70.34371745099895,2236.2834596075395,16.368245318623554,0.004216068247136846,0.0029157132303820605,0.14629748493560213,274,12,0.23072281883808335,14.816029688278974,16.499999999999737,50.98899891898245,True,Medium,1000,6
0.9239853247959512,0.7381189687152536,-0.017134473303055262,36.901602078056946,73.43054634977749,2727.9671174387595,16.476614595673983,0.00423759925222177,0.002921959511137449,0.14635022096340036,295,10,0.22622798689077978,18.418087507480756,16.499999999999737,51.52714374539269,True,Medium,1000,7
0.9218679977197864,0.7349726841263704,0.006008631496555237,37.02096636411785,75.3621816115898,2589.439923240275,16.271268801654813,0.004138555230556703,0.002889494063907637,0.14545493836539422,288,10,0.20740259716412765,16.264910277162308,16.499999999999737,50.92256826795705,True,Medium,1000,8
0.9306701813659464,0.7423340016872463,-0.006747980748561639,36.64916275560269,75.2864312091658,2722.358889626302,16.30388651970932,0.00416914387852592,0.002810771242148362,0.14158694335900524,304,6,0.20947597675147736,14.868194144822695,16.499999999999737,51.59275168017352,True,Medium,1000,9
0.9194229912830615,0.7348623422880325,0.001033230223141629,36.463738437388365,75.3621816115898,2387.2042204334984,16.496424147808185,0.004216416824890503,0.0028678954430959532,0.14382364745590814,296,7,0.28657772076119076,15.909061348176976,16.499999999999737,51.592911276004294,True,Medium,1000,10
0.9265229613236001,0.741618880536323,-0.003577012573725018,36.72573246480351,78.12707130006629,2545.343716821243,16.327855118556677,0.004259622558264721,0.0029162172866000393,0.14637448586316393,306,6,0.231882084892005,20.361576365346775,16.499999999999957,50.86364611083572,True,Medium,1000,11
0.9082413598582754,0.7241648632483298,-0.009361424275854508,36.80098685434203,77.32222327431114,2488.36360762887,16.534939886455994,0.004189702980144583,0.002870123219147782,0.14397198530813235,306,6,0.22860314166672505,15.113709308567827,16.499999999999957,50.832033569207624,True,Medium,1000,12
0.9304486610901478,0.7410632946512572,-0.0002732926251258315,36.929494472393294,75.43793201401382,2449.002023285275,16.40499263488113,0.004221026290461443,0.0028797871425246912,0.14374965455415953,296,9,0.22869267572498997,16.057569381385818,16.499999999999737,51.59852060940118,True,Medium,1000,13
