Speed (km/h),Method,Mean Fc (N),Std Fc (N),Min Fc (N),Max Fc (N),Loss of contact (%),ATR (%),Integral u^2 dt,Peak |u| (N),Peak |du/dt| (N/s),State-event triggers,Check-period triggers
250,Passive actual,119.91746868042921,30.426240628793686,42.768374900548594,202.35243088579065,0.0,0.0,0.0,0.0,0.0,0,0
250,Scheduled K/P continuous,120.03279371632937,28.370668741324902,54.19155544343616,194.34713857137555,0.0,100.0,1903.4124505835275,55.37723475458574,84277.80087418572,0,0
250,Phase10 fixed timing performance,120.27599404152708,28.849085244799664,54.94581602236207,198.2762508957939,0.0,87.31949814566401,2161.711025715696,87.096718132701,10000.000000000015,158,71
250,Phase10 fixed timing balanced,120.0101890064879,29.389755176072573,47.63769268578272,201.042164767227,0.0,66.4641363528762,3388.6971014158858,97.5528258147614,10000.000000000015,221,33
250,Phase11 adaptive timing quality,119.90716515825095,29.660797694726536,45.30451747043089,210.38366358588044,0.0,53.24706068018622,2384.468688036075,97.55282581475514,10000.000000000015,202,39
250,Phase11 adaptive timing balanced,119.90716515825095,29.660797694726536,45.30451747043089,210.38366358588044,0.0,53.24706068018622,2384.468688036075,97.55282581475514,10000.000000000015,202,39
300,Passive actual,119.91711585062009,36.725077238938475,30.918071739735588,209.41479697469376,0.0,0.0,0.0,0.0,0.0,0,0
300,Scheduled K/P continuous,120.03044156519269,35.4482596278751,41.644915594955954,200.7217972345759,0.0,100.0,1651.3151702801192,40.27101438210681,40908.92308116258,0,0
300,Phase10 fixed timing performance,120.14081723534674,36.053200203748354,45.46036077165522,202.42537861748207,0.0,84.93513871792445,1026.215666435485,64.0858655047309,10000.000000000007,114,71
300,Phase10 fixed timing balanced,120.15464463061748,36.35434830821667,26.09197501129331,209.2123824730088,0.0,70.542562257362,2264.31703716015,97.5528258147571,10000.000000000015,210,20
300,Phase11 adaptive timing quality,120.30350008550981,35.81919077055512,35.564419388793254,197.21239266006106,0.0,62.096392387084556,1595.1696042042759,89.59666537065398,10000.000000000015,202,23
300,Phase11 adaptive timing balanced,120.30350008550981,35.81919077055512,35.564419388793254,197.21239266006106,0.0,62.096392387084556,1595.1696042042759,89.59666537065398,10000.000000000015,202,23
350,Passive actual,119.88736376976165,38.59127094137464,32.59405994608948,192.6183284381157,0.0,0.0,0.0,0.0,0.0,0,0
350,Scheduled K/P continuous,120.13773297746245,36.9684595738521,44.636643662517415,182.79954284243752,0.0,100.0,1229.0835977872043,39.32127988158506,44936.670041802005,0,0
350,Phase10 fixed timing performance,119.87852952512699,37.523308583242084,41.101068234059476,183.88088665867593,0.0,86.71969948072035,760.5236371175989,58.95091388898638,10000.0,113,49
350,Phase10 fixed timing balanced,119.83325341093872,37.29147548694307,43.903033923161566,188.55929225644275,0.0,62.64501160092807,789.1077560235428,93.55226232598757,10000.000000000015,145,29
350,Phase11 adaptive timing quality,120.04413035500603,38.00178452442346,43.326651329731355,188.35713812126073,0.0,60.72257209148161,1006.2538020066088,83.0629856148536,10000.000000000015,176,21
350,Phase11 adaptive timing balanced,120.04413035500603,38.00178452442346,43.326651329731355,188.35713812126073,0.0,60.72257209148161,1006.2538020066088,83.0629856148536,10000.000000000015,176,21
250,Phase11 robust adaptive timing,119.98529425904077,29.370980679792716,45.825108411682564,209.9780227248187,0.0,52.72626844472501,2201.793525094955,97.55282581475946,10000.000000000015,192,42
300,Phase11 robust adaptive timing,120.38261710672514,35.37795946980024,35.6553008568751,197.45575462924532,0.0,65.95019411040622,1674.7603329456483,90.25069115815091,10000.000000000015,214,24
350,Phase11 robust adaptive timing,119.98332000151649,38.04897493089032,42.380165727250116,186.7004216981854,0.0,60.269583471439624,937.0804205826017,73.0312393761723,10000.000000000015,175,19
