Metric,Mean,Std
Force RMSE (N),0.9212254506949,0.007407504310506283
Force MAE (N),0.7347629776696649,0.006073653917157761
Force bias (N),-0.0019812510390462036,0.01220597442583854
Filtered Fc std (N),36.66926154680976,0.21497788755103484
ATR (%),75.3101032099233,2.415696865475797
Integral u2,2502.3816355385616,141.635237673277
Position-state RMSE (um),16.364383441484907,0.11380616554468974
Velocity-state RMSE (m/s),0.004201821912533989,3.8645316705138474e-05
Max state norm,0.2300292954142828,0.0191219536190503
Max V,16.99716166475581,2.2745491635714647
Minimum inter-event time (ms),16.499999999999766,8.456102764798536e-14
Maximum OFF interval (ms),51.2783180749618,0.3544628138223257
