Time (s),Reference (N),Estimate (N),uc (N),Extended estimate (N),Extended uc (N)
0.66,180.37744779893805,179.01573072741547,0.8974010690840917,178.95377109310047,1.2002799449056003
0.661,173.94687902893696,172.81133691621758,0.8974010690840917,172.73016994679276,1.1447579875279463
0.662,166.97588292222034,166.7604847004923,0.8974010690840917,166.5540169234431,1.1204100417559886
0.663,159.74896529605832,157.71502221530028,0.8974010690840917,157.57978203653178,1.063439379606848
0.664,152.58385947221558,151.0814518936823,0.8974010690840917,150.90604200908862,1.0093817768404498
0.665,145.80431222618887,144.13907536421092,0.8974010690840917,144.0538828066777,0.9927810454266932
0.666,139.70157121986716,140.27140950628635,0.8974010690840917,140.12403465054746,1.0148696002731856
0.667,134.50416134262184,135.0482500153234,0.8974010690840917,134.8996573817982,1.0515796244303657
0.668,130.32672384862107,129.8986226131771,0.8974010690840917,129.84056489309884,1.0434731469038183
0.669,127.17824914495904,127.4306049040857,0.8974010690840917,127.41994005759261,1.0015286224765436
0.67,124.96198989050242,125.88941130405397,0.8974010690840917,125.93156881887377,0.9674830880646706
0.671,123.49953835315326,125.31613517643817,0.8974010690840917,125.30034643627205,0.9485661505492137
0.672,122.566005199408,122.87972743486708,0.8974010690840917,122.87224040057907,0.9521001243635022
0.673,121.00013930759896,120.50236076299706,0.8974010690840917,120.57122540821632,0.9363691866287784
0.674,119.3213791901766,119.6319544886033,0.8974010690840917,119.6476511277052,0.9343878904497621
0.675,117.56324211580409,117.349416521639,0.8974010690840917,117.37123281656143,0.9392403650038644
0.676,115.8356166026852,115.17303108934875,0.8974010690840917,115.25008729282553,0.935235299861878
0.677,114.28944934481213,114.28528565206136,0.8974010690840917,114.36029468553095,0.9335600911703625
0.678,113.10560474197251,112.92207162840764,0.8974010690840917,113.00253237505117,0.9357103719155093
0.679,112.4691669032654,111.51435194795194,0.8974010690840917,111.61884221284474,0.9363091463927694
0.68,112.5515527438502,110.9858640244634,0.8974010690840917,111.19754966266298,0.9354001887175627
0.681,113.4923396119764,113.18120359594084,0.8974010690840917,113.3652731544995,0.9376620862791267
0.682,115.38341925329549,114.65061456401386,0.8974010690840917,114.88031818007464,0.9371086794045242
0.683,118.25664311853744,117.23325854123544,0.8974010690840917,117.50470191170197,0.9475735017300517
0.684,122.07572656557592,121.23551415378452,0.8974010690840917,121.5764679179098,0.972596600462892
0.685,126.7328204196968,127.3896014365828,0.8974010690840917,127.71920777059935,0.9881882576654412
0.686,132.04983164124127,132.74779845286488,0.8974010690840917,133.11111385658788,0.9965580761758432
0.687,137.78430042718514,139.04938744033078,0.8974010690840917,139.34083146734048,1.0016027324994055
0.6880000000000001,143.6394290466987,143.85214627466326,0.8974010690840917,144.12777265128744,0.9974653766584715
0.6890000000000001,149.27770889652987,148.18587674772172,0.8974010690840917,148.48522992748724,1.0122026468059748
0.6900000000000001,154.33749941517016,152.6887764056665,0.8974010690840917,153.0359238455291,1.0414054421885235
0.6910000000000001,158.45186208622926,158.43736540101398,0.8974010690840917,158.65098235660096,1.046912533328629
0.6920000000000001,161.26892718131924,160.6502993491536,0.8974010690840917,160.8278797938545,1.036562109841661
0.6930000000000001,162.4730509695974,161.87380424551986,0.8974010690840917,162.00350352012805,1.0336392694237277
0.6940000000000001,161.8049023384404,162.3305280068947,0.8974010690840917,162.27615600336904,1.046983391963737
0.6950000000000001,159.06653130031475,157.91713947383784,0.8974010690840917,157.93926400633677,1.0579362106460861
0.6960000000000001,154.13040361573246,156.14763016181496,0.8974010690840917,155.9749516582325,1.0887952029430472
0.6970000000000001,149.0464639642843,149.57618029390147,0.8974010690840917,149.43680837262545,1.1125895794122012
0.6980000000000001,142.68468294835466,143.99031290345542,0.8974010690840917,143.71359391260688,1.120275039956944
0.6990000000000001,135.21098559238644,134.65575902047897,0.8974010690840917,134.45741197247293,1.0925258237617634
0.7000000000000001,126.82311127874203,127.67598909447506,0.8974010690840917,127.34940739148374,1.0625564181099318
0.7010000000000001,117.75205646259354,117.82877889580506,0.8974010690840917,117.49420063685491,1.089265762341364
0.7020000000000001,108.23911194193988,108.2894024870228,0.8974010690840917,107.95018291340521,1.1015488902741404
0.7030000000000001,98.48489995368442,98.7212110596208,0.8974010690840917,98.35685965773708,1.152921331115063
0.704,88.68971172489722,88.68257243495421,0.8974010690840917,88.33992093980454,1.2005266069147262
0.705,79.03491803859532,79.1236163318225,0.8974010690840917,78.81931487694177,1.233302566920261
0.706,69.6906330035956,70.42861424384044,0.8974010690840917,70.1126124788383,1.2776042542464985
0.707,60.82617851982482,61.02643048084047,0.8974010690840917,60.79031379951666,1.3068835287635403
0.708,52.607858638555385,53.76180606898404,0.8974010690840917,53.52000723953079,1.3329741407059115
0.709,45.21574512675973,46.48577065950503,0.8974010690840917,46.27115593033342,1.3711633126774305
0.71,38.84269522560459,39.34554048355083,0.8974010690840917,39.22274446806814,1.393906821592245
0.711,33.69246536188456,33.58947855135142,0.8974010690840917,33.57859702544096,1.40300802171875
0.712,29.971801570243755,30.29383540943058,0.8974010690840917,30.36242944371615,1.4086802910249199
0.713,27.88273806177256,28.95745030958168,0.8974010690840917,29.071482656491092,1.4037437152822594
0.714,27.610991510116065,28.17985049758565,0.8974010690840917,28.422437359084714,1.3879998811926828
0.715,29.30455058857845,30.48327402048965,0.8974010690840917,30.825095085788938,1.3450777626168835
0.716,33.05576054586889,34.94780713558556,0.8974010690840917,35.338608471384624,1.2779055906143881
0.717,38.88901746882024,40.11149859366312,0.8974010690840917,40.59273869887192,1.212977321508005
0.718,46.7595884321621,46.82117931673993,0.8974010690840917,47.46416521750111,1.190874505349372
0.719,56.53849317332464,57.456916377559416,0.8974010690840917,58.125441055462446,1.185997442966536
0.72,68.02315222082808,68.23713711272268,0.8974010690840917,68.87659775636423,1.1269181170099978
0.721,76.51409027682016,77.46306714227536,0.8974010690840917,78.05193256469798,1.0586177077233059
