Seed,Method,RMSE (N),MAE (N),Bias (N),Frozen uc (N),Coverage k2 (%)
11,Raw,1.5493088102596362,1.2397490609454402,-0.004472628675171696,1.5362395646512947,95.41196711909768
11,LPF,1.420904025615202,1.1337469487470289,-0.004136797649597256,1.4019485681229853,95.14433186771171
11,Observer,0.8958221972890972,0.7178666790108732,0.0014216588982555725,0.8974010690840917,95.83253679984706
12,Raw,1.528717881733615,1.2217988677409355,-0.010104413973786091,1.5362395646512947,95.87077040718792
12,LPF,1.4004954228823563,1.1220051566050901,-0.009899088400203118,1.4019485681229853,95.5649015484611
12,Observer,0.8762793175847842,0.6997484072386078,-0.006983739542592464,0.8974010690840917,95.73695278149494
13,Raw,1.5132958036477564,1.2103385841271521,-0.0015691021117008623,1.5362395646512947,95.96635442554005
13,LPF,1.3813757358841467,1.1022477948992397,-0.0011974623180053916,1.4019485681229853,95.6413687631428
13,Observer,0.9045969786405492,0.7203558130919537,-0.0016082447336906395,0.8974010690840917,95.18256547505257
14,Raw,1.541295077159627,1.234819486822319,0.024822445029754746,1.5362395646512947,95.41196711909768
14,LPF,1.419113578242009,1.1342208956380635,0.024761733298236152,1.4019485681229853,95.23991588606386
14,Observer,0.9113182238344887,0.7265679897625624,0.023981649561915414,0.8974010690840917,95.25903268973428
15,Raw,1.549467545234021,1.2347768961150354,-0.02774956805026447,1.5362395646512947,95.12521506404129
15,LPF,1.4264257751568532,1.1305047517756388,-0.027628793170220486,1.4019485681229853,94.87669661632575
15,Observer,0.9129797065374436,0.724599996131254,-0.024541470501363898,0.8974010690840917,94.6281781686102
16,Raw,1.526551296145353,1.2204130123917472,-0.02993914721922405,1.5362395646512947,95.87077040718792
16,LPF,1.4028443266430515,1.1259017735987025,-0.029773827464206246,1.4019485681229853,95.52666794112025
16,Observer,0.88516316164278,0.7053756269583144,-0.028059454168364147,0.8974010690840917,95.85165360351749
17,Raw,1.5509830738532042,1.239035851903823,-0.006372205017350769,1.5362395646512947,95.37373351175683
17,LPF,1.4299625374476157,1.1430250231360624,-0.006236608383957105,1.4019485681229853,94.70464538329192
17,Observer,0.902791150051883,0.7143713081601419,-0.006156215488087135,0.8974010690840917,95.14433186771171
18,Raw,1.513302158430218,1.2128912877521734,0.007025735877036367,1.5362395646512947,95.94723762186962
18,LPF,1.386719871554071,1.1107181586218962,0.007081900328654001,1.4019485681229853,96.0045880328809
18,Observer,0.8909772419868289,0.7082699496029152,0.008275661215873259,0.8974010690840917,95.39285031542725
19,Raw,1.534779076925818,1.225244271721796,-0.004254512155291754,1.5362395646512947,95.5649015484611
19,LPF,1.4124221967597062,1.1262092028788335,-0.0042356577090584225,1.4019485681229853,95.12521506404129
19,Observer,0.8969273915374057,0.7148240737172614,-0.004267599632680943,0.8974010690840917,95.43108392276811
20,Raw,1.535901874870646,1.2236060773210802,-0.0006083803126835534,1.5362395646512947,95.41196711909768
20,LPF,1.4161096537361104,1.1288455814147758,-0.0006065763083491795,1.4019485681229853,94.99139743834832
20,Observer,0.8998036728501045,0.715512287249843,-0.002004938623484654,0.8974010690840917,95.37373351175683
21,Raw,1.527629080016502,1.212600249968266,-0.0033247991230194156,1.5362395646512947,95.50755113744982
21,LPF,1.415756531587964,1.1281181637063227,-0.0030003241510752347,1.4019485681229853,95.02963104568916
21,Observer,0.892908158553895,0.713139231473072,0.002049441184641553,0.8974010690840917,95.46931753010897
22,Raw,1.5381406710445853,1.2295110093963444,-0.0028801106019762674,1.5362395646512947,95.5649015484611
22,LPF,1.4008688257153994,1.1202682624886078,-0.0028372739899552068,1.4019485681229853,95.75606958516536
22,Observer,0.8907085395560687,0.7118367645982789,-0.003681148692312087,0.8974010690840917,95.43108392276811
23,Raw,1.5511735806005187,1.2330627479496743,-0.014140654728029303,1.5362395646512947,95.06786465303001
23,LPF,1.430981277777296,1.143902340476584,-0.013677278076375834,1.4019485681229853,94.78111259797362
23,Observer,0.8879574692066898,0.7077006592545136,-0.009691246153803535,0.8974010690840917,95.73695278149494
24,Raw,1.5571052225304207,1.2311051379089932,0.005746163260745025,1.5362395646512947,94.74287899063276
24,LPF,1.4279379802834247,1.1323927824894209,0.005829566484481457,1.4019485681229853,95.04874784935959
24,Observer,0.9118408122629409,0.7192148981923943,0.0028433190040104256,0.8974010690840917,94.6281781686102
25,Raw,1.5131484875286159,1.2116356130427997,-0.00876245395437091,1.5362395646512947,95.96635442554005
25,LPF,1.4116108112636843,1.1291213319599336,-0.00861936814650875,1.4019485681229853,95.27814949340471
25,Observer,0.8976074038215655,0.7177053558761709,-0.005218551552772972,0.8974010690840917,95.35461670808641
26,Raw,1.5394879135759707,1.225395344720758,0.04182794030642005,1.5362395646512947,95.29726629707514
26,LPF,1.4163509892316135,1.13243241759891,0.0420290027767745,1.4019485681229853,95.25903268973428
26,Observer,0.8933614626449222,0.7162102283437489,0.03835806429022957,0.8974010690840917,95.50755113744982
27,Raw,1.5336654262508587,1.2168404083258209,0.01404617095287766,1.5362395646512947,95.4884343337794
27,LPF,1.4028779231457804,1.1160833996150923,0.014149584713185625,1.4019485681229853,95.18256547505257
27,Observer,0.9094458103837955,0.7278572875497294,0.012170657328018232,0.8974010690840917,95.02963104568916
28,Raw,1.5267855392315897,1.218148406926178,0.001204989267412237,1.5362395646512947,95.39285031542725
28,LPF,1.4076210776018037,1.1217035870229486,0.0013737998578614039,1.4019485681229853,95.52666794112025
28,Observer,0.904570506382534,0.7201707362097289,0.0017380200736869093,0.8974010690840917,94.85757981265533
29,Raw,1.5110412739960524,1.2026281018378333,-0.0027135125102186633,1.5362395646512947,95.58401835213152
29,LPF,1.3893285635020722,1.1047974503710356,-0.002472438141002781,1.4019485681229853,95.5649015484611
29,Observer,0.8947632021454119,0.7186628505868938,-0.0032388116763316763,0.8974010690840917,95.81341999617663
30,Raw,1.5235552273125075,1.2112901670296587,0.0020965194976127885,1.5362395646512947,95.39285031542725
