Seed,Method,Alarm fraction (%),False positive rate (%),False-safe rate (%),Indeterminate (%),Matched edge absolute displacement (ms),Unmatched reference edges (%),Decision disagreement (%)
11,True force,31.584927097140692,0.0,0.0,0.0,0.0,0.0,0.0
11,Reconstructed force,31.62279871236508,0.249100470523111,0.4196642685851319,0.0,0.061538461538458177,0.7633587786259555,0.30297292179511454
11,Uncertainty-aware force,30.221548949062676,0.0,0.0,2.51846241242189,0.37984496124033623,1.526717557251911,
12,True force,31.812156788487027,0.0,0.0,0.0,0.0,0.0,0.0
12,Reconstructed force,31.679606135201666,0.3332407664537628,1.130952380952381,0.0,0.2000000000000084,1.4598540145985384,0.5870100359780345
12,Uncertainty-aware force,30.18367733383829,0.0,0.05952380952380953,2.9161143722779777,0.5681818181818254,3.649635036496346,
13,True force,31.2062109448968,0.0,0.0,0.0,0.0,0.0,0.0
13,Reconstructed force,31.09259609922363,0.2477291494632535,0.9101941747572815,0.0,0.08208955223880274,0.0,0.45445938269267183
13,Uncertainty-aware force,29.539859875023673,0.027525461051472612,0.0,3.0486650255633405,0.5725190839694722,2.238805970149249,
14,True force,31.73641355803825,0.0,0.0,0.0,0.0,0.0,0.0
14,Reconstructed force,31.77428517326264,0.5270457697642164,1.0143198090692125,0.0,0.1363636363636466,0.0,0.6816890740390077
14,Uncertainty-aware force,30.240484756674874,0.0,0.0,2.9729217951145617,0.2923076923077071,1.5151515151515138,
15,True force,30.713879946979738,0.0,0.0,0.0,0.0,0.0,0.0
15,Reconstructed force,30.978981253550465,0.7379065318393003,0.8014796547472256,0.0,0.26119402985075474,0.7407407407407418,0.7574323044877864
15,Uncertainty-aware force,29.00965726188222,0.08198961464881116,0.0,3.484188600643817,0.6279069767441893,4.444444444444439,
16,True force,31.111531906835825,0.0,0.0,0.0,0.0,0.0,0.0
16,Reconstructed force,31.03578867638705,0.4398020890599231,1.2172854534388313,0.0,0.2631578947368423,1.4814814814814836,0.6816890740390077
16,Uncertainty-aware force,29.46411664457489,0.0,0.06086427267194157,3.2001514864608978,0.5468750000000066,5.185185185185182,
17,True force,31.9257716341602,0.0,0.0,0.0,0.0,0.0,0.0
17,Reconstructed force,31.887900018935806,0.3616133518776078,0.8896797153024912,0.0,0.10218978102189141,0.7246376811594235,0.5302026131414505
17,Uncertainty-aware force,30.373035409960238,0.027816411682892908,0.0,3.1433440636243133,0.3656716417910442,2.898550724637683,
18,True force,31.05472448399924,0.0,0.0,0.0,0.0,0.0,0.0
18,Reconstructed force,31.09259609922363,0.5767646251029936,1.1585365853658536,0.0,0.13533834586467264,0.0,0.7574323044877864
18,Uncertainty-aware force,29.4262450293505,0.0,0.0,3.275894716909676,0.7086614173228573,4.511278195488721,
19,True force,31.07366029161144,0.0,0.0,0.0,0.0,0.0,0.0
19,Reconstructed force,31.111531906835825,0.43956043956043955,0.8531383302864107,0.0,0.06766917293232004,1.4814814814814836,0.5680742283658398
19,Uncertainty-aware force,29.804961181594397,0.0,0.0,2.9350501798901725,0.33076923076924386,3.703703703703709,
20,True force,31.45237644385533,0.0,0.0,0.0,0.0,0.0,0.0
20,Reconstructed force,31.471312251467527,0.44198895027624313,0.9030704394942807,0.0,0.24615384615385402,0.7633587786259555,0.5870100359780345
20,Uncertainty-aware force,29.861768604430978,0.0,0.0,2.8971785646657833,0.4645669291338814,3.053435114503822,
21,True force,31.812156788487027,0.0,0.0,0.0,0.0,0.0,0.0
21,Reconstructed force,31.660670327589475,0.4165509580672035,1.369047619047619,0.0,0.2180451127819534,1.4814814814814836,0.719560689263397
21,Uncertainty-aware force,29.99431925771634,0.0,0.0,3.2569589092974818,0.6153846153845929,3.703703703703709,
22,True force,32.41810263207726,0.0,0.0,0.0,0.0,0.0,0.0
22,Reconstructed force,32.34235940162848,0.4763239002521714,1.2266355140186915,0.0,0.17910447761192888,0.7407407407407418,0.719560689263397
22,Uncertainty-aware force,30.922173830713877,0.05603810591202018,0.0,2.9350501798901725,0.4122137404579944,2.9629629629629672,
