Seed,Scenario,RMSE (N),Mean uc (N),Coverage k2 (%),Normalized error RMS
11,Frozen full covariance,0.8961896138751024,0.8974010690840917,95.81518651770497,0.9986500403769012
11,Frozen diagonal covariance,0.8961896138751024,0.9044896556818595,95.98560878621473,0.9908235083125411
11,Observer posterior covariance,0.8961896138751024,0.9647902718135035,97.04601401249762,0.9287758229191444
11,Extended synthetic budget,0.9220813871410795,1.2420206437600032,98.76917250520735,0.7802394050761788
12,Frozen full covariance,0.8751491459572204,0.8974010690840917,95.7773149024806,0.9752040376444145
12,Frozen diagonal covariance,0.8751491459572204,0.9044896556818595,96.0992236318879,0.9675612545258788
12,Observer posterior covariance,0.8751491459572204,0.9647902718135035,97.46260177996592,0.9072849726902412
12,Extended synthetic budget,1.3517805291531864,1.2376661474874897,96.25071009278545,1.03715542291773
13,Frozen full covariance,0.9048884159632606,0.8974010690840917,95.19030486650254,1.0083433674608955
13,Frozen diagonal covariance,0.9048884159632606,0.9044896556818595,95.36072713501231,1.00044086770799
13,Observer posterior covariance,0.9048884159632606,0.9647902718135035,96.64836205264155,0.9389926997205814
13,Extended synthetic budget,1.3803970552006246,1.2311887455958523,95.92880136337814,1.0454378056747378
14,Frozen full covariance,0.9103281080201884,0.8974010690840917,95.30391971217573,1.014404973853319
14,Frozen diagonal covariance,0.9103281080201884,0.9044896556818595,95.53114940352206,1.0064549686131319
14,Observer posterior covariance,0.9103281080201884,0.9647902718135035,96.74304109070252,0.9451373847392093
14,Extended synthetic budget,1.0923350032385588,1.2302912129586054,97.8413179322098,0.8959893730543594
15,Frozen full covariance,0.9113204243147105,0.8974010690840917,94.66010225336112,1.0155107406377677
15,Frozen diagonal covariance,0.9113204243147105,0.9044896556818595,94.88733194470744,1.007552069379612
15,Observer posterior covariance,0.9113204243147105,0.9647902718135035,96.47793978413179,0.9450651613536902
15,Extended synthetic budget,1.8204138420715352,1.2254113070643278,86.1389888278735,1.3648510846147446
16,Frozen full covariance,0.8852466781817085,0.8974010690840917,95.83412232531717,0.9864560102265221
16,Frozen diagonal covariance,0.8852466781817085,0.9044896556818595,95.94773717099034,0.9787250441403396
16,Observer posterior covariance,0.8852466781817085,0.9647902718135035,96.8377201287635,0.9175982745684357
16,Extended synthetic budget,1.1395822140255045,1.2329472511556945,97.5383450104147,0.9239729324004252
17,Frozen full covariance,0.9016201709801196,0.8974010690840917,95.17136905889036,1.0047014674278625
17,Frozen diagonal covariance,0.9016201709801196,0.9044896556818595,95.30391971217573,0.9968275096528585
17,Observer posterior covariance,0.9016201709801196,0.9647902718135035,96.62942624502935,0.9352933048001072
17,Extended synthetic budget,1.2515507342606378,1.2352949765688328,96.76197689831471,0.9830958870014352
18,Frozen full covariance,0.8931069556141814,0.8974010690840917,95.37966294262449,0.9952149450030263
18,Frozen diagonal covariance,0.8931069556141814,0.9044896556818595,95.51221359590987,0.9874153341653229
18,Observer posterior covariance,0.8931069556141814,0.9647902718135035,96.78091270592691,0.9274796875295079
18,Extended synthetic budget,1.5038780784521482,1.2361822351885075,94.58435902291232,1.116293488167945
19,Frozen full covariance,0.8979061009170436,0.8974010690840917,95.3985987502367,1.0005627715971714
19,Frozen diagonal covariance,0.8979061009170436,0.9044896556818595,95.53114940352206,0.9927212492443012
19,Observer posterior covariance,0.8979061009170436,0.9647902718135035,96.72410528309032,0.9320299136212334
19,Extended synthetic budget,1.4768468586260473,1.2254233241091401,94.07309221738306,1.1180932487557174
20,Frozen full covariance,0.901499890378266,0.8974010690840917,95.32285551978792,1.0045674352698928
20,Frozen diagonal covariance,0.901499890378266,0.9044896556818595,95.49327778829768,0.9966945279199021
20,Observer posterior covariance,0.901499890378266,0.9647902718135035,96.8377201287635,0.9352279860087188
20,Extended synthetic budget,1.3579936308856593,1.2376947567363326,95.79625071009279,1.0471261497116415
21,Frozen full covariance,0.8916853405492475,0.8974010690840917,95.49327778829768,0.9936307981662227
21,Frozen diagonal covariance,0.8916853405492475,0.9044896556818595,95.70157167203182,0.9858436024644643
21,Observer posterior covariance,0.8916853405492475,0.9647902718135035,96.76197689831471,0.9249365654094797
21,Extended synthetic budget,1.1810262264245395,1.2379264918169994,97.33005112668054,0.9384749203735785
22,Frozen full covariance,0.8894008303653258,0.8974010690840917,95.47434198068547,0.9910851023089028
22,Frozen diagonal covariance,0.8894008303653258,0.9044896556818595,95.7394432872562,0.9833178575103116
22,Observer posterior covariance,0.8894008303653258,0.9647902718135035,97.04601401249762,0.9221539608947289
22,Extended synthetic budget,1.5410784550481482,1.2469384438112199,93.29672410528309,1.1440433985531613
23,Frozen full covariance,0.8879849440464002,0.8974010690840917,95.7394432872562,0.9895073391796804
23,Frozen diagonal covariance,0.8879849440464002,0.9044896556818595,95.92880136337814,0.981752459487204
23,Observer posterior covariance,0.8879849440464002,0.9647902718135035,97.00814239727325,0.9210057577376551
23,Extended synthetic budget,1.2962068756507417,1.2337442701399095,95.37966294262449,1.0266011831177781
24,Frozen full covariance,0.9125836966790897,0.8974010690840917,94.60329483052452,1.0169184416177415
24,Frozen diagonal covariance,0.9125836966790897,0.9044896556818595,94.83052452187086,1.0089487380495559
24,Observer posterior covariance,0.9125836966790897,0.9647902718135035,96.0802878242757,0.9456112137586539
24,Extended synthetic budget,1.0760701812324316,1.2263015559711516,97.23537208861957,0.9001526865828614
25,Frozen full covariance,0.8973195463251299,0.8974010690840917,95.36072713501231,0.9999091568287911
25,Frozen diagonal covariance,0.8973195463251299,0.9044896556818595,95.55008521113425,0.9920727569279667
25,Observer posterior covariance,0.8973195463251299,0.9647902718135035,96.59155462980496,0.9303393153272069
25,Extended synthetic budget,1.4673511085759665,1.2304998860320957,93.65650444991479,1.1288063390769114
26,Frozen full covariance,0.8937551829057496,0.8974010690840917,95.51221359590987,0.9959372834466721
26,Frozen diagonal covariance,0.8937551829057496,0.9044896556818595,95.62582844158304,0.9881320115617931
26,Observer posterior covariance,0.8937551829057496,0.9647902718135035,96.98920658966105,0.9266769657425422
26,Extended synthetic budget,1.5002442606215856,1.2372216994362655,93.58076121946601,1.1383096559220582
27,Frozen full covariance,0.9097124165725066,0.8974010690840917,95.00094679038061,1.013718891042753
27,Frozen diagonal covariance,0.9097124165725066,0.9044896556818595,95.13349744366597,1.00577426271029
27,Observer posterior covariance,0.9097124165725066,0.9647902718135035,96.21283847756106,0.9435837024269678
27,Extended synthetic budget,1.0563062093655662,1.2360539488564957,97.57621662563908,0.8726978857750792
28,Frozen full covariance,0.9039768996509966,0.8974010690840917,94.86839613709525,1.0073276384366427
28,Frozen diagonal covariance,0.9039768996509966,0.9044896556818595,95.09562582844158,0.9994330990657083
28,Observer posterior covariance,0.9039768996509966,0.9647902718135035,96.57261882219277,0.9372132748369951
28,Extended synthetic budget,1.0716173095742616,1.2303778869643545,97.82238212459762,0.87005438378458
29,Frozen full covariance,0.8957217921937514,0.8974010690840917,95.75837909486839,0.9981287331292638
29,Frozen diagonal covariance,0.8957217921937514,0.9044896556818595,96.00454459382692,0.9903062866081109
29,Observer posterior covariance,0.8957217921937514,0.9647902718135035,97.23537208861957,0.9295564165545138
29,Extended synthetic budget,0.9918730780651037,1.2295719227855189,98.76917250520735,0.8151807998331313
30,Frozen full covariance,0.8888223006330876,0.8974010690840917,95.98560878621473,0.9904404298740588
30,Frozen diagonal covariance,0.8888223006330876,0.9044896556818595,96.21283847756106,0.9826782374454454
30,Observer posterior covariance,0.8888223006330876,0.9647902718135035,97.12175724294642,0.9224522145904781
30,Extended synthetic budget,1.4793567153531448,1.2409448413438866,91.51675818973679,1.1774703580997423
