Force RMSE (N),Force MAE (N),Force bias (N),Filtered Fc std (N),ATR (%),Integral u2,Position-state RMSE (um),Velocity-state RMSE (m/s),Modal displacement RMSE,Modal velocity RMSE,State events,Check triggers,Max state norm,Max V,Minimum inter-event time (ms),Maximum OFF interval (ms),Finite trajectory,Case,Feedback state,Event state,Seed
0.9395693950554354,0.7523972305588404,0.009551993715116964,36.43592652921499,55.97954739134552,1309.4407601840821,16.035960021651306,0.004244156676948025,0.0032381670087899012,0.1620757815289239,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,1
0.9391231735676485,0.7510511148746088,0.02403722468141609,36.43592652921499,55.97954739134552,1309.4407601840821,16.241652398705305,0.004232443496762484,0.0032404076332161517,0.16238430933298437,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,2
0.9159037695516067,0.7336624563825702,0.007678354152075014,36.43592652921499,55.97954739134552,1309.4407601840821,16.40128638076274,0.0041716900358213386,0.0032160312583624953,0.16157056377315868,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,3
0.9172256179550051,0.733409709362758,0.018147717135133176,36.43592652921499,55.97954739134552,1309.4407601840821,16.474246878502157,0.00424350648445551,0.003155639908613441,0.1585007313663567,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,4
0.930102347895854,0.7421521088073243,-0.012412563573543782,36.43592652921499,55.97954739134552,1309.4407601840821,16.282222171654357,0.004232008378992698,0.003156680241941989,0.15778089284816504,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,5
0.9266590150774933,0.7350622031321365,0.0033078695182471715,36.43592652921499,55.97954739134552,1309.4407601840821,16.33521667152307,0.00425062940425451,0.0032767641418429932,0.16451587634599177,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,6
0.9401470108045887,0.7510288668700895,-0.013004003410635455,36.43592652921499,55.97954739134552,1309.4407601840821,16.449611850251582,0.004302808171019838,0.003214724738558414,0.16117287239464614,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,7
0.9330341733972924,0.7434050712205232,0.013714514588918196,36.43592652921499,55.97954739134552,1309.4407601840821,16.24934807070577,0.004190005997042441,0.0031712802735168817,0.15934276249134052,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,8
0.9406635682695988,0.75012207877369,-0.003414797476663712,36.43592652921499,55.97954739134552,1309.4407601840821,16.26888854494305,0.004223804139073448,0.003169444037822907,0.15924593911131632,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,9
0.933884825527069,0.7463390754476131,0.006050596450816307,36.43592652921499,55.97954739134552,1309.4407601840821,16.487365179393734,0.0042732486676015724,0.0032419652481829116,0.16293242686547485,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,A: true/true,true,true,10
0.9292023132835199,0.7431629068702378,0.006165409611036749,36.79759721716288,57.49455543982578,2283.5399929573496,16.06129296066892,0.004186157947597648,0.0027036912319610557,0.1352166360516139,206,22,0.24357241707509383,44.145531921448196,16.499999999999737,51.63932410744221,True,B: observer/true,observer,true,1
0.9356485208167167,0.7489108348659358,0.014088391203496753,37.39205338163534,52.83590569074899,2094.476209159784,16.27288712434712,0.004220028114282547,0.0030141388541114478,0.15298829196704997,184,28,0.2511426122338626,47.2632570436662,16.499999999999737,52.21797987823751,True,B: observer/true,observer,true,2
0.9089567527894745,0.7271352280623834,0.0017399985758120968,37.30242460580074,53.782785721049144,2344.861792270778,16.427393347449772,0.004134714418480672,0.0029564844610552726,0.14862258419299287,182,32,0.2605140999066549,45.54257391270021,16.499999999999737,52.241918591088066,True,B: observer/true,observer,true,3
0.9095314576388476,0.7267421934368425,0.011462800355932164,36.569350668805555,56.85067701922166,2396.9392898786,16.50437844653257,0.004199915355988615,0.002880146657153266,0.144830488983134,195,28,0.24365357784648753,48.489838712867744,16.499999999999737,51.67378670559053,True,B: observer/true,observer,true,4
0.9250086247117251,0.7363910141236769,-0.022051914399187484,36.290363040524426,53.422971309535086,2256.743481666437,16.28759876204918,0.0042042551012213,0.002689148460301272,0.13504046022562965,182,32,0.22788825793065948,37.87291552555521,16.499999999999737,51.64274392356339,True,B: observer/true,observer,true,5
0.9211063455414239,0.7307086225172,0.000632356406956265,36.50705803935259,55.31673137013541,2237.484635111451,16.35872956642346,0.004220112539199046,0.0028710674423743955,0.14560064604418704,194,27,0.2478629692707369,40.94862128775546,16.499999999999737,51.63761419938151,True,B: observer/true,observer,true,6
0.9349181137118717,0.7459191759766237,-0.018251832369571182,36.92604128678442,54.67285294953129,2210.562490171007,16.458275894988244,0.0042843364096718985,0.003000997584586137,0.15122971282927314,193,25,0.2722303576798485,50.70248266887553,16.499999999999737,52.25217803945314,True,B: observer/true,observer,true,7
0.9257894675427741,0.7378363142204148,0.007979166276363121,36.66632518471794,56.28254900104157,2150.3434085600184,16.251242577799964,0.004157782748848287,0.0030658770155943915,0.15416182968868805,197,26,0.25133897988084064,50.16833151796921,16.499999999999737,52.22324182088656,True,B: observer/true,observer,true,8
0.9370496770537774,0.7472687271366776,-0.009665289708548764,35.993850532341746,56.301486601647575,2467.5313883555605,16.30447295126768,0.004214326092551792,0.002790703017965556,0.14012357196988082,198,25,0.2514789345657282,46.20226099053123,16.499999999999737,51.601405074015005,True,B: observer/true,observer,true,9
0.9265814506271955,0.7407856507520194,0.004707155601018188,36.52649417623764,53.79225452135215,2269.552167427948,16.51909122360388,0.004239632636957502,0.003259211186818912,0.16408900858107825,192,23,0.257771707415038,40.98388116756862,16.499999999999737,51.647556507836256,True,B: observer/true,observer,true,10
0.9228723157759439,0.7373959280330004,0.005294607169769492,36.80352942620204,73.51576555250449,2379.419399415534,16.069926520129872,0.0041679918379219924,0.0027775619937788075,0.1393742373917484,282,9,0.21850047872915376,18.029968862123287,16.499999999999737,50.94791728946202,True,C: true/observer,true,observer,1
