Time (s),GUM uc (N),MC uc (N),Relative difference (%)
0.71,1.393906821592245,1.3907697531898444,-0.2250558182086526
0.842,1.106265301388201,1.1012455606404972,-0.4537555992585762
0.975,1.1049075978609977,1.1015739286417867,-0.301714752044846
1.108,2.267863369606226,2.2681299627007,0.011755253779699437
1.241,1.06690427946173,1.0646874075825592,-0.207785451970377
1.374,0.9518658301888072,0.9398049041208825,-1.2670825746032288
1.506,1.5181273665470385,1.5231661845424762,0.33191009571866825
1.639,1.0092642406227874,1.0045063936798424,-0.4714173703418867
1.772,1.334674094968885,1.3352560416308885,0.043602154578215035
1.905,1.0369627532587986,1.0345902780003355,-0.22879078838726752
2.0380000000000003,2.1631833548692945,2.166677415158355,0.16152400032090064
2.1710000000000003,1.6354225017540776,1.6343576947468479,-0.0651089859707521
2.303,1.3853538352911943,1.3831142485076104,-0.16166171605632718
2.436,1.5741251579161848,1.5552498049330021,-1.1991011571258814
2.569,1.0042382142407664,1.0088976209417337,0.46397424783222174
2.702,1.3462314612941926,1.3489662883349136,0.20314686733675646
2.835,0.9411351834263793,0.9530270382253142,1.2635650019628963
2.967,0.9964609152921995,1.0069771280848772,1.0553562745202028
3.1,1.5916142356564755,1.5930674914108902,0.09130703419570896
3.233,1.0875225482078092,1.0966910499832239,0.8430631429687585
3.366,1.312735922720185,1.3124607418695748,-0.020962392043011313
3.499,1.1090998731198192,1.1020033384436354,-0.6398463157534895
3.632,1.183300514010808,1.1796948882006222,-0.30470922369200126
3.764,1.2038226357314161,1.2078086532016037,0.3311133510764952
3.897,1.0857638984731897,1.08197275575981,-0.3491682417062103
4.03,1.1297227845403386,1.1374275764069088,0.6820073005525229
4.163,1.2365202735260943,1.2298287212330608,-0.5411599337511674
4.296,2.094706230436105,2.092044820363404,-0.12705409637068232
4.428,0.9292120202923954,0.9303308552126763,0.12040684965837212
4.561,1.0469264921850099,1.0418376713580177,-0.4860724095701707
4.694,1.5666436158997397,1.5722747852211005,0.3594416282178381
4.827,0.9355079767173398,0.9361910281585285,0.07301396227379353
4.96,1.377931546814086,1.398724156275262,1.5089725980401925
5.093,0.9471882654987,0.9528853270100455,0.6014708710887495
5.2250000000000005,1.0153459488765113,1.018641081766737,0.3245330218603737
5.3580000000000005,1.526428551551566,1.5349521774306891,0.558403200101254
5.4910000000000005,1.2785922460241164,1.2828772657504246,0.3351357510287478
5.6240000000000006,1.072533928323628,1.0681091784686503,-0.412551038072384
5.757000000000001,1.425348957663232,1.43838482016029,0.9145734051280607
5.89,1.3066518792536699,1.303273245439243,-0.25857184060046334
