Case,Filtered Fc std (N) mean,Filtered Fc std (N) std,ATR (%) mean,ATR (%) std,Integral u2 mean,Integral u2 std
A: true/true,36.43592652921499,0.0,55.97954739134552,0.0,1309.4407601840821,0.0
B: observer/true,36.69715581333632,0.42874181509318626,55.075276962408864,1.6072015963193065,2271.203485555893,110.95428070646761
C: true/observer,36.71463658555756,0.13504787393961534,71.93542278193353,2.526596771813842,2323.684786867316,159.76547844600557
D: observer/observer,36.69646519199467,0.20715991772248543,74.28368525707792,2.338312092253037,2473.624441539849,179.2148320467529
