Force RMSE (N),Force MAE (N),Force bias (N),Filtered Fc std (N),ATR (%),Integral u2,Position-state RMSE (um),Velocity-state RMSE (m/s),Modal displacement RMSE,Modal velocity RMSE,State events,Check triggers,Max state norm,Max V,Minimum inter-event time (ms),Maximum OFF interval (ms),Finite trajectory,beta,Seed
0.9269016552729868,0.7414099858517135,0.005064999175420071,36.2774444415065,86.83836757882776,3498.1966078440573,16.06195326383039,0.004179303823127746,0.0028531432130731653,0.1422542795915646,347,0,0.21129747213960343,3.520742588290351,16.499999999999737,28.122225026834258,True,0.05,1
0.9206372271510389,0.7356155574421542,0.020116391771695382,36.382126219117886,84.93513871792445,3397.1790540165775,16.283476405050422,0.0041508091922820645,0.0028547332597818158,0.14258992535190343,341,1,0.1994076991228462,3.3477079653840542,16.499999999999737,48.83418021703933,True,0.05,2
0.9065498941541454,0.7251578905846551,0.004154800889729789,36.44003941166263,86.27023956064767,3326.2944137191307,16.41966438693888,0.004119706200602224,0.0028716159538056166,0.14385080865666108,343,0,0.20257678652142236,3.768687278977703,16.499999999999737,49.10854576234816,True,0.05,3
0.9101666832796963,0.7266369601074882,0.01481863910979297,36.38065798461793,86.23236435943566,3367.672951538676,16.473345389060206,0.004193621157791574,0.0028328776005582625,0.1417544631384284,340,2,0.20710943519963795,4.2426077375390125,16.499999999999737,50.249050647432014,True,0.05,4
0.9163689079772873,0.7305673097484475,-0.016829794060096045,36.48530685202386,83.81782028217025,3503.412867972079,16.296501719247633,0.004166302301034937,0.0028058700070173466,0.13990101053891935,339,1,0.1999213169825084,3.605794863885587,16.499999999999737,49.46245711545938,True,0.05,5
0.9143434700189932,0.7265315007537202,-0.00040795586909003317,36.324730591371406,84.7078875106524,3497.1968278590866,16.364845516250504,0.00418550895857309,0.002855087243754245,0.14314248966806875,339,0,0.1887690945777827,2.656637025688735,16.499999999999737,48.015764297067776,True,0.05,6
0.9269555756044082,0.7400246518703685,-0.016893418312961622,36.575334110315175,84.31019789792633,3242.9690343348866,16.478069886189694,0.00423662667238066,0.002876518532776431,0.14378506359374923,333,3,0.20882472995787912,3.63542353512236,16.499999999999737,51.6136754865304,True,0.05,7
0.9191964511351094,0.7321006100622903,0.01062963588839696,36.323200760116045,85.39910993277152,3275.4871567320747,16.25277112837716,0.0041279677932004105,0.0029095476137927065,0.1455647318865738,343,0,0.20549428294911165,2.862033857296665,16.499999999999737,46.939286749174244,True,0.05,8
0.9354002302626186,0.7468836775566552,-0.0065414009393459545,36.46927041677843,85.39910993277152,3397.7977168659004,16.29689128662745,0.004188755648712519,0.002803654980796318,0.14053549787289044,344,0,0.20183438304336462,3.1073632525787125,16.499999999999737,42.30358804602518,True,0.05,9
0.9160791160902324,0.7315681842255064,0.0015932871399495976,36.45544029495766,87.82312281033992,3419.899861361465,16.517932802761116,0.004198171249422788,0.0028404463560759356,0.14246136375446303,352,0,0.20233451385425455,4.000999971286334,16.499999999999737,34.22907368490424,True,0.05,10
0.9254220596178959,0.7394872403766342,0.005880175113085444,36.666491524332194,81.01505539248177,3307.407101617667,16.06472350037972,0.0041679481589735525,0.002720299369361534,0.13606031408275618,322,3,0.213789059921527,6.412296143619658,16.499999999999737,50.27276005365344,True,0.1,1
0.9211575583761884,0.7364590152629495,0.019421926956165663,36.79181834270167,80.11551936369662,2870.8515775213878,16.258832542621008,0.004155638170487042,0.0027982432150979986,0.14010703899446617,314,6,0.22193846400254974,8.34029148109223,16.499999999999737,51.60257754177522,True,0.1,2
0.9035145191974931,0.7230469085822699,0.0038471366268075275,36.56030058772833,80.95824259066376,3094.010603642021,16.437471130538725,0.004108794850181423,0.002832919809078373,0.14237338917053075,324,4,0.2183360217254239,7.269505571123998,16.499999999999737,50.974290006535306,True,0.1,3
0.9070411034180684,0.7239244541915529,0.01410675647439533,36.59681796237979,82.52059464065903,3034.639921764565,16.488795611388372,0.004186308396048789,0.002721037853365088,0.13682745595816256,325,3,0.21081532294852548,7.022914088173349,16.499999999999737,50.87500167221126,True,0.1,4
0.9180896219323759,0.7322232669396591,-0.015234362252962402,36.645227332527476,79.46217214278951,3261.1665144710514,16.318899086086024,0.0041725304627797,0.0028107037300276645,0.14045744476788338,307,8,0.25682356341839385,6.671425401020973,16.499999999999737,51.61025567040893,True,0.1,5
0.9089761048987054,0.7227280449117462,-0.0010562006032164473,36.55512075028342,80.29542656945365,3255.015865850368,16.37632090073103,0.00416012641998502,0.0028248344018530925,0.14175556260691421,320,4,0.2638216247609289,7.221182633972337,16.499999999999737,50.862581911135685,True,0.1,6
0.9251428844085713,0.7389196808144739,-0.017624776002058574,36.87347805685426,78.43007290976234,2977.6466158764115,16.491337063888007,0.004230434615842981,0.0028583608435945023,0.1430873387111569,308,10,0.2327563130415609,8.785264999808005,16.499999999999737,51.61709530265179,True,0.1,7
0.9157360190776863,0.7300809655917192,0.008974204923554628,36.575850419293516,80.65524098096772,2898.377086783446,16.262928162686837,0.0041163802082421815,0.002744364961128743,0.1377329709150434,326,2,0.21610320363863175,6.397565794005747,16.499999999999737,50.25695378283957,True,0.1,8
0.9287112764571687,0.7406210804003773,-0.006265994713569997,36.60044253300101,78.46794811097433,2998.6541744107817,16.307835026222595,0.004158707019247963,0.0027438398216613224,0.13780131625952383,311,6,0.2228100452020573,7.023305351592994,16.499999999999737,51.58986721555969,True,0.1,9
0.9151435282388719,0.7310437999738021,0.002646780191108645,36.72615522581338,79.90720575703058,3005.4764118683943,16.505545595756494,0.004193418058434115,0.002797372178636546,0.14040771419722428,319,4,0.2336040068366521,7.374946345396576,16.499999999999737,51.56390703403524,True,0.1,10
0.9273657369396242,0.7414727985093484,0.006853764015505492,36.61506768696983,75.52315121674084,2396.8129872069126,16.045111294825322,0.004185068814954736,0.0028391887493275213,0.14117692404193383,295,12,0.2159276205338957,16.097061955352768,16.499999999999737,51.57605750919325,True,0.15,1
0.9242572944011591,0.7393331300872086,0.020003272680835096,36.88581143599485,70.39106145251397,2217.8869561507026,16.270587831560764,0.004165883173529579,0.0029905021604990077,0.14872961053681502,280,11,0.20006695782703704,16.71685079030458,16.499999999999737,51.69575107344748,True,0.15,2
