Sampling (Hz),Force RMSE (N) mean,Force RMSE (N) std,Force MAE (N) mean,Force MAE (N) std,Force bias (N) mean,Force bias (N) std,Filtered Fc std (N) mean,Filtered Fc std (N) std,ATR (%) mean,ATR (%) std,Integral u2 mean,Integral u2 std,Position-state RMSE (um) mean,Position-state RMSE (um) std,Velocity-state RMSE (m/s) mean,Velocity-state RMSE (m/s) std,Max state norm mean,Max state norm std,Max V mean,Max V std,Minimum inter-event time (ms) mean,Minimum inter-event time (ms) std,Maximum OFF interval (ms) mean,Maximum OFF interval (ms) std
500,1.0697851447613964,0.01619193565624162,0.8516490210651796,0.013240479058409279,-3.1828742929055495e-05,0.020864898441701054,36.60136698389202,0.22016411218825185,73.01202537638481,2.4838474639770802,2749.6290094604637,235.3821592023147,20.523073970422637,0.23264219120777566,0.005039890346330965,8.344227578346313e-05,0.23512441959170474,0.01667787766241569,15.893427609802302,1.92291093321553,16.499999999999737,0.0,51.53163890343247,0.362622794511076
1000,0.9212254506949,0.007407504310506287,0.7347629776696649,0.006073653917157765,-0.001981251039046205,0.012205974425838498,36.66926154680975,0.21497788755103522,75.31010320992331,2.415696865475795,2502.3816355385616,141.6352376732771,16.364383441484907,0.11380616554469007,0.0042018219125339405,3.864531670513906e-05,0.2300292954142828,0.019121953619050308,16.997161664755815,2.274549163571465,16.499999999999773,8.381139333078756e-14,51.2783180749618,0.3544628138223243
2000,0.8192029846080212,0.006395450825939255,0.6537725083036618,0.005957846892937481,0.0011249867617294047,0.014311527967704981,36.67732224551224,0.25217245960358614,76.84310197897926,1.990156934276256,2495.6903178378934,162.97109041858135,13.417196692205087,0.06737167603596615,0.003473160256997535,2.7241255267045232e-05,0.23181626050324106,0.0122285459121048,17.871903242128734,1.5476671721723865,16.499999999999737,0.0,51.25583367477735,0.3482374150323625
