Noise case,Force RMSE (N) mean,Force RMSE (N) std,Force MAE (N) mean,Force MAE (N) std,Force bias (N) mean,Force bias (N) std,Filtered Fc std (N) mean,Filtered Fc std (N) std,ATR (%) mean,ATR (%) std,Integral u2 mean,Integral u2 std,Position-state RMSE (um) mean,Position-state RMSE (um) std,Velocity-state RMSE (m/s) mean,Velocity-state RMSE (m/s) std,Max state norm mean,Max state norm std,Max V mean,Max V std,Minimum inter-event time (ms) mean,Minimum inter-event time (ms) std,Maximum OFF interval (ms) mean,Maximum OFF interval (ms) std
Noise-free,0.03831294581834603,1.3641897618957732e-07,0.02230419030248221,1.0770636132284581e-07,8.397537374331991e-06,1.4842315236481053e-07,37.14918055494345,3.2654609849859953e-06,70.45734305463498,0.0,2544.117381093538,0.0029058962121392643,0.46289506254526247,7.126134567009598e-06,0.00012767593587414,5.34251511386965e-10,0.22117867251808696,1.1669251095987164e-07,13.886626305827983,5.159053473610093e-05,16.499999999999737,0.0,51.55819314808241,0.0
Low,0.5344149411430394,0.004709949584474348,0.42614161120646904,0.0036876232822493746,-0.0002753360510053199,0.007211012649076196,36.720215412300334,0.27632802449992205,74.22734589527508,2.155597150755342,2398.315458474078,167.5488899464883,8.628790925565344,0.04671261696355452,0.002837556901135935,2.2293906752783882e-05,0.2364617672722799,0.017792020646015698,17.220465157392418,1.6658978094647923,16.499999999999805,2.055102195358485e-13,51.246475669559025,0.4094651827057474
Medium,0.9212254506949,0.007407504310506287,0.7347629776696649,0.006073653917157765,-0.001981251039046205,0.012205974425838498,36.66926154680975,0.21497788755103522,75.31010320992331,2.415696865475795,2502.3816355385616,141.6352376732771,16.364383441484907,0.11380616554469007,0.0042018219125339405,3.864531670513906e-05,0.2300292954142828,0.019121953619050308,16.997161664755815,2.274549163571465,16.499999999999773,8.381139333078756e-14,51.2783180749618,0.3544628138223243
High,1.5942983597555216,0.012105273615955066,1.2717966330290296,0.010062487079203725,-0.004461729082427759,0.019532515206268957,36.52936584686312,0.3168151869358468,77.65883912508285,1.1489779756521812,2972.8151425836472,228.44640762500777,26.82462136618266,0.2490417447341573,0.005756929207126195,6.685603251943189e-05,0.23524216299507547,0.013189339270434444,15.579857467666454,2.6301090546362977,16.499999999999773,8.37122574898284e-14,51.29860689024203,0.45487707600218114
