Mismatch band (%),Force RMSE (N) mean,Force RMSE (N) std,Force MAE (N) mean,Force MAE (N) std,Force bias (N) mean,Force bias (N) std,Combined standard uncertainty (N) mean,Combined standard uncertainty (N) std,Expanded uncertainty k=2 (N) mean,Expanded uncertainty k=2 (N) std,Modal displacement NRMSE (%) mean,Modal displacement NRMSE (%) std,Modal velocity NRMSE (%) mean,Modal velocity NRMSE (%) std,q1 NRMSE (%) mean,q1 NRMSE (%) std,q2 NRMSE (%) mean,q2 NRMSE (%) std,Contact-wire displacement RMSE (um) mean,Contact-wire displacement RMSE (um) std
0,0.9275429446823085,0.01046129898284317,0.739623216233936,0.007509541160961069,-0.00013286203348426712,0.014126248227604957,0.9289655966552823,0.00962400781122359,1.8579311933105647,0.01924801562244718,182.47025897528437,5.796391149344978,135.38045178510427,3.6685472230643645,178.25273498719787,8.716779889142527,208.50607996312814,12.684763148367443,1042.249404714707,3.477219974170753
2,1.184901444265575,0.19601242780390574,0.9464602264390573,0.1591941084379913,-0.0002356931770940313,0.013977305165416428,0.9289655966552823,0.00962400781122359,1.8579311933105647,0.01924801562244718,182.47025897528437,5.796391149344978,135.38045178510427,3.6685472230643645,178.25273498719787,8.716779889142527,208.50607996312814,12.684763148367443,1042.249404714707,3.477219974170753
5,1.8336381726124749,0.7089798675122512,1.4735259412025026,0.5748489744267071,0.0008400088238624244,0.013788658265361442,0.9289655966552823,0.00962400781122359,1.8579311933105647,0.01924801562244718,182.47025897528437,5.796391149344978,135.38045178510427,3.6685472230643645,178.25273498719787,8.716779889142527,208.50607996312814,12.684763148367443,1042.249404714707,3.477219974170753
10,2.677670452916804,1.5339119337056166,2.154186567822565,1.2374840494106918,0.0006504517209794253,0.015370092567545545,0.9289655966552823,0.00962400781122359,1.8579311933105647,0.01924801562244718,182.47025897528437,5.796391149344978,135.38045178510427,3.6685472230643645,178.25273498719787,8.716779889142527,208.50607996312814,12.684763148367443,1042.249404714707,3.477219974170753
