Scenario,Passive sigma_F (N),Phase12 sigma_F (N),Improvement (%),ATR (%),Integral u2
Nominal,36.725077238938475,36.43592652921499,0.7873386020190825,55.97954739134552,1309.4407601840821
Tension -10%,35.49532823407036,36.26244796683676,-2.161185065560486,49.9857967995455,1421.262581332816
Tension +10%,38.6633158200165,36.96501641216644,4.392534297254522,52.28671527317489,1340.082432556384
Foundation -10%,36.63439713725798,36.13878410355581,1.3528625347518584,55.02319856074236,1473.7674890114586
Foundation +10%,36.78819824295845,35.9100525432199,2.3870310090726914,56.87908342013067,1629.1964258858316
Masses -10%,35.21492218665948,34.211919396010316,2.8482323071244258,57.077928226493704,1685.179871899099
Masses +10%,37.86490115674999,37.976443056528055,-0.29457861072003333,52.447684878325916,1262.9567040284048
